name,symbol,price,change,volume,mkt_cap,PE_ratio
Plug Power Inc.,PLUG,4.1300,+0.3299,399.864M,4.81B,--
Opendoor Technologies Inc.,OPEN,9.28,+1.17,284.583M,6.887B,--
"Advanced Micro Devices, Inc.",AMD,203.71,+39.04,247.318M,340.748B,122.72
NVIDIA Corporation,NVDA,185.54,-2.08,156.108M,4.548T,52.86
Archer Aviation Inc.,ACHR,13.64,+2.07,148.184M,8.798B,--
Denison Mines Corp.,DNN,2.8100,+0.0100,129.204M,2.519B,--
Snap Inc.,SNAP,8.52,-0.02,129.522M,14.397B,--
"BigBear.ai Holdings, Inc.",BBAI,7.69,+0.50,129.839M,2.851B,--
"Rigetti Computing, Inc.",RGTI,41.71,+1.65,110.326M,13.521B,--
Intel Corporation,INTC,36.59,-0.24,109.812M,176.288B,--
Sprott Physical Silver Trust,PSLV,16.35,+0.22,100.015M,9.073B,6.99
Quantum Computing Inc.,QUBT,22.16,-2.46,101.045M,4.138B,--
American Airlines Group Inc.,AAL,11.83,+0.25,90.758M,7.806B,13.92
Lithium Americas Corp.,LAC,8.45,-0.59,88.906M,2.042B,--
"SoFi Technologies, Inc.",SOFI,26.36,+1.12,96.821M,31.565B,52.72
Ford Motor Company,F,12.70,+0.03,90.095M,49.644B,16.28
"Tesla, Inc.",TSLA,453.25,+23.42,83.864M,1.507T,266.62
Ondas Holdings Inc.,ONDS,10.66,+0.75,81.588M,3.485B,--
D-Wave Quantum Inc.,QBTS,35.02,+2.32,72.033M,11.977B,--
Verizon Communications Inc.,VZ,41.44,-2.23,73.997M,174.724B,9.64
"MARA Holdings, Inc.",MARA,20.57,+1.75,72.133M,7.62B,11.06
"Bitmine Immersion Technologies, Inc.",BMNR,63.22,+6.57,64.137M,17.672B,--
NIO Inc.,NIO,7.59,-0.11,59.724M,18.644B,--
UiPath Inc.,PATH,14.52,+1.62,58.747M,7.71B,484.00
B2Gold Corp.,BTG,5.33,+0.25,58.397M,7.052B,--
Pfizer Inc.,PFE,26.43,-0.94,57.162M,150.269B,13.98
Banco Bradesco S.A.,BBD,3.1800,+0.0100,54.976M,31.638B,9.09
Transocean Ltd.,RIG,3.4300,+0.0600,53.53M,3.776B,--
Vale S.A.,VALE,11.29,+0.28,52.032M,48.195B,9.25
"SoundHound AI, Inc.",SOUN,18.25,+0.40,50.915M,7.436B,--
AT&T Inc.,T,25.87,-1.19,51.122M,184.98B,14.78
QuantumScape Corporation,QS,15.72,-0.20,50.21M,8.898B,--
Grab Holdings Limited,GRAB,6.39,+0.23,50.669M,26.049B,319.50
"Rocket Companies, Inc.",RKT,16.94,-0.86,55.944M,35.755B,--
Palantir Technologies Inc.,PLTR,179.53,+6.46,52.326M,425.907B,598.43
Cipher Mining Inc.,CIFR,15.34,+0.64,45.363M,6.033B,--
Huntington Bancshares Incorporated,HBAN,16.71,-0.50,42.623M,24.378B,12.47
Apple Inc.,AAPL,256.69,-1.33,42.475M,3.809T,39.01
IREN Limited,IREN,57.75,+7.29,40.803M,15.707B,148.08
Fifth Third Bancorp,FITB,43.79,-0.62,40.79M,28.681B,13.64
"Riot Platforms, Inc.",RIOT,21.56,+2.12,39.936M,7.969B,--
"Super Micro Computer, Inc.",SMCI,54.62,+2.66,40.16M,32.459B,32.51
"Amazon.com, Inc.",AMZN,220.90,+1.39,42.459M,2.356T,33.67
Nu Holdings Ltd.,NU,15.38,+0.07,35.618M,74.322B,32.72
"CleanSpark, Inc.",CLSK,17.43,+1.49,36.356M,4.899B,20.27
Cenovus Energy Inc.,CVE,17.47,+0.49,34.564M,31.442B,16.96
"Recursion Pharmaceuticals, Inc.",RXRX,5.53,+0.04,34.378M,2.414B,--
"Eos Energy Enterprises, Inc.",EOSE,13.86,+1.26,34.99M,3.87B,--
